,datetime,open,high,low,close,volume,closeTime,qav,numTrades,tbv,tbqv,ignore,adj_close
2020-08-22 09:00:00,1598079600000,2.92,5.1,2.92,3.423,2888902.1,1598083199999,9859967.0477,25835,1391245.8,4741508.5722,0,3.423
2020-08-22 10:00:00,1598083200000,3.421,3.866,3.238,3.85,2681328.9,1598086799999,9490848.6030,26382,1314840.5,4670286.2023,0,3.85
2020-08-22 11:00:00,1598086800000,3.839,4.052,3.567,3.907,3039444.4,1598090399999,11639292.8136,30480,1287990.7,4959994.1076,0,3.907
2020-08-22 12:00:00,1598090400000,3.907,3.98,3.617,3.819,2313767.0,1598093999999,8781708.0701,26002,997334.2,3800248.4949,0,3.819
2020-08-22 13:00:00,1598094000000,3.828,3.877,3.658,3.831,1178309.0,1598097599999,4434773.8534,15931,510714.7,1929575.3692,0,3.831
2020-08-22 14:00:00,1598097600000,3.83,3.88,3.502,3.647,1876469.3,1598101199999,6789662.8461,22512,761788.1,2761926.9374,0,3.647
2020-08-22 15:00:00,1598101200000,3.647,4.067,3.647,3.822,2422444.3,1598104799999,9369402.0272,26848,1147117.5,4440585.7898,0,3.822
2020-08-22 16:00:00,1598104800000,3.822,3.955,3.646,3.837,2686513.0,1598108399999,10223715.5236,37304,1229049.3,4696797.7979,0,3.837
2020-08-22 17:00:00,1598108400000,3.839,3.927,3.75,3.846,1067337.8,1598111999999,4091263.2885,17906,453425.5,1741005.0156,0,3.846
2020-08-22 18:00:00,1598112000000,3.846,4.039,3.812,4.014,1521124.2,1598115599999,5971622.0709,25386,742309.5,2919667.6407,0,4.014
2020-08-22 19:00:00,1598115600000,4.013,4.23,3.866,4.178,2370743.0,1598119199999,9592676.7933,34745,1177525.3,4770823.0761,0,4.178
2020-08-22 20:00:00,1598119200000,4.185,4.4,4.113,4.268,3296977.6,1598122799999,14047657.3417,36449,1465805.1,6257926.7616,0,4.268
2020-08-22 21:00:00,1598122800000,4.258,4.364,4.137,4.228,1168570.4,1598126399999,4962427.6528,15439,491181.4,2090243.3501,0,4.228
2020-08-22 22:00:00,1598126400000,4.223,4.309,4.05,4.132,1128041.6,1598129999999,4706171.1256,16531,470710.8,1969442.6902,0,4.132
2020-08-22 23:00:00,1598130000000,4.132,4.343,3.967,4.29,1444433.9,1598133599999,5955647.9189,18713,690881.5,2854689.3492,0,4.29
2020-08-23 00:00:00,1598133600000,4.294,4.32,4.155,4.246,1064612.2,1598137199999,4506652.7013,13255,447617.6,1898318.7228,0,4.246
2020-08-23 01:00:00,1598137200000,4.247,4.563,4.234,4.465,2132699.9,1598140799999,9454976.1273,26198,1040282.3,4615888.3986,0,4.465
2020-08-23 02:00:00,1598140800000,4.482,4.5,4.252,4.301,1670223.3,1598144399999,7302203.6559,20560,730184.3,3196503.3610,0,4.301
2020-08-23 03:00:00,1598144400000,4.29,4.427,4.13,4.421,1154737.8,1598147999999,4907254.5127,15006,494465.1,2108456.5734,0,4.421
2020-08-23 04:00:00,1598148000000,4.424,4.425,4.212,4.312,704309.9,1598151599999,3028767.3569,9525,283737.4,1221277.4642,0,4.312
2020-08-23 05:00:00,1598151600000,4.312,4.332,4.052,4.11,1135641.7,1598155199999,4719635.4262,17664,397541.7,1652106.2259,0,4.11
2020-08-23 06:00:00,1598155200000,4.117,4.278,4.027,4.278,939982.3,1598158799999,3891738.4963,12001,472200.6,1962245.5482,0,4.278
2020-08-23 07:00:00,1598158800000,4.278,4.289,4.109,4.168,744116.1,1598162399999,3108862.7338,12978,343738.1,1436969.2474,0,4.168
2020-08-23 08:00:00,1598162400000,4.168,4.176,4.022,4.155,683933.5,1598165999999,2810337.2474,9128,301930.9,1242773.9891,0,4.155
2020-08-23 09:00:00,1598166000000,4.155,4.279,4.131,4.214,630858.4,1598169599999,2650236.1669,9698,334053.4,1404281.4145,0,4.214
2020-08-23 10:00:00,1598169600000,4.218,4.245,4.132,4.155,617816.1,1598173199999,2585980.3847,11789,260457.2,1091681.7177,0,4.155
2020-08-23 11:00:00,1598173200000,4.154,4.214,4.145,4.193,384646.0,1598176799999,1606584.4728,5882,185096.1,774014.2829,0,4.193
2020-08-23 12:00:00,1598176800000,4.194,4.197,3.808,3.913,2110580.1,1598180399999,8380028.0193,23208,727039.6,2887853.9500,0,3.913
2020-08-23 13:00:00,1598180400000,3.911,4.0,3.724,3.753,1574190.5,1598183999999,6080880.0977,16197,653941.5,2536787.2585,0,3.753
2020-08-23 14:00:00,1598184000000,3.753,3.955,3.706,3.864,1562693.8,1598187599999,5966294.0914,16504,720008.3,2754223.0062,0,3.864
2020-08-23 15:00:00,1598187600000,3.865,3.996,3.822,3.861,1191557.0,1598191199999,4649370.8459,12323,580785.8,2270391.2288,0,3.861
2020-08-23 16:00:00,1598191200000,3.853,3.922,3.792,3.863,838338.0,1598194799999,3243251.3194,9993,400712.1,1552883.3951,0,3.863
2020-08-23 17:00:00,1598194800000,3.863,3.923,3.733,3.922,937323.9,1598198399999,3584324.6951,9811,405378.4,1554784.9733,0,3.922
2020-08-23 18:00:00,1598198400000,3.922,3.939,3.747,3.798,758127.2,1598201999999,2898607.1342,9881,335886.7,1286667.3720,0,3.798
2020-08-23 19:00:00,1598202000000,3.81,3.921,3.757,3.787,781360.7,1598205599999,2996086.5238,8185,341852.4,1312876.4787,0,3.787
2020-08-23 20:00:00,1598205600000,3.788,3.898,3.772,3.85,501015.4,1598209199999,1922912.4988,5883,249153.2,956687.4870,0,3.85
2020-08-23 21:00:00,1598209200000,3.85,4.106,3.841,4.047,1092090.4,1598212799999,4363209.7328,12888,569428.0,2275339.1151,0,4.047
2020-08-23 22:00:00,1598212800000,4.043,4.13,3.967,3.986,795258.9,1598216399999,3220831.9460,12234,329730.4,1338045.1140,0,3.986
2020-08-23 23:00:00,1598216400000,3.986,4.077,3.903,3.928,647751.3,1598219999999,2572251.0816,9724,289550.9,1151801.9748,0,3.928
2020-08-24 00:00:00,1598220000000,3.928,3.945,3.863,3.932,402899.1,1598223599999,1574899.7100,5043,165344.3,647306.2370,0,3.932
2020-08-24 01:00:00,1598223600000,3.932,4.15,3.928,3.993,1162352.6,1598227199999,4705943.0155,12716,490361.3,1989650.7156,0,3.993
2020-08-24 02:00:00,1598227200000,3.993,4.04,3.874,3.96,571302.2,1598230799999,2252364.6508,6029,263869.8,1041089.8666,0,3.96
2020-08-24 03:00:00,1598230800000,3.956,3.964,3.82,3.826,534460.1,1598234399999,2065213.1219,5521,190966.3,738596.8451,0,3.826
2020-08-24 04:00:00,1598234400000,3.83,4.002,3.755,3.891,1129234.5,1598237999999,4387662.2513,9926,497489.2,1939291.5051,0,3.891
2020-08-24 05:00:00,1598238000000,3.892,3.974,3.85,3.964,428392.4,1598241599999,1680440.7107,3387,193056.6,760096.7905,0,3.964
2020-08-24 06:00:00,1598241600000,3.96,4.032,3.88,4.016,610854.6,1598245199999,2415557.5792,5113,321864.8,1276503.3726,0,4.016
2020-08-24 07:00:00,1598245200000,4.019,4.06,3.956,3.977,484308.2,1598248799999,1941263.1994,5217,221106.7,887394.2334,0,3.977
2020-08-24 08:00:00,1598248800000,3.982,4.168,3.972,4.081,999349.4,1598252399999,4075895.1202,10245,520054.9,2122619.9915,0,4.081
2020-08-24 09:00:00,1598252400000,4.081,4.148,3.943,3.97,1291733.9,1598255999999,5219358.7232,14886,532799.7,2158548.6620,0,3.97
2020-08-24 10:00:00,1598256000000,3.974,4.051,3.915,3.952,601232.9,1598259599999,2391484.8291,6403,262649.3,1046794.2020,0,3.952
2020-08-24 11:00:00,1598259600000,3.946,4.087,3.944,4.067,817482.1,1598263199999,3299358.3232,9152,419211.2,1693523.8350,0,4.067
2020-08-24 12:00:00,1598263200000,4.067,4.19,4.033,4.096,1022318.1,1598266799999,4212042.6143,11408,505552.1,2085936.4655,0,4.096
2020-08-24 13:00:00,1598266800000,4.101,4.186,4.031,4.185,835004.5,1598270399999,3425820.6629,10034,364067.0,1496209.5963,0,4.185
2020-08-24 14:00:00,1598270400000,4.185,4.33,4.137,4.278,2035507.6,1598273999999,8629160.3482,22751,1028139.3,4363691.3716,0,4.278
2020-08-24 15:00:00,1598274000000,4.276,4.284,4.173,4.272,1288226.7,1598277599999,5448504.0553,14363,633971.2,2682834.3810,0,4.272
2020-08-24 16:00:00,1598277600000,4.272,4.303,4.119,4.17,1106235.1,1598281199999,4637584.1481,12260,445371.9,1869875.7792,0,4.17
2020-08-24 17:00:00,1598281200000,4.165,4.263,4.119,4.225,748407.3,1598284799999,3137478.8484,8553,357312.7,1499212.2173,0,4.225
2020-08-24 18:00:00,1598284800000,4.224,4.396,4.181,4.394,1573020.0,1598288399999,6782843.0968,20444,818569.5,3530866.7149,0,4.394
2020-08-24 19:00:00,1598288400000,4.394,4.485,4.316,4.432,2122653.4,1598291999999,9370685.6906,31123,991091.2,4378118.8106,0,4.432
2020-08-24 20:00:00,1598292000000,4.429,4.432,4.276,4.291,1038156.8,1598295599999,4507522.6589,21360,428281.2,1860950.2881,0,4.291
2020-08-24 21:00:00,1598295600000,4.29,4.5,4.29,4.456,995590.4,1598299199999,4386033.4136,14931,540733.4,2385134.1266,0,4.456
2020-08-24 22:00:00,1598299200000,4.46,4.688,4.378,4.674,2103596.8,1598302799999,9553064.4712,37328,1090361.6,4954413.1092,0,4.674
2020-08-24 23:00:00,1598302800000,4.674,4.789,4.603,4.714,2154547.0,1598306399999,10135717.0921,30500,1009218.2,4753684.9347,0,4.714
2020-08-25 00:00:00,1598306400000,4.71,4.81,4.584,4.709,1505435.1,1598309999999,7077919.5392,21735,700453.6,3297202.5411,0,4.709
2020-08-25 01:00:00,1598310000000,4.71,4.764,4.55,4.594,1134741.1,1598313599999,5282387.0914,14766,528841.9,2464065.0298,0,4.594
2020-08-25 02:00:00,1598313600000,4.585,4.679,4.492,4.62,1212340.5,1598317199999,5556141.6323,14559,574783.7,2638556.3871,0,4.62
2020-08-25 03:00:00,1598317200000,4.62,4.88,4.572,4.879,1451187.2,1598320799999,6879167.4740,16757,856717.8,4066854.8635,0,4.879
2020-08-25 04:00:00,1598320800000,4.872,4.938,4.711,4.721,2397407.0,1598324399999,11545607.0621,29850,1104012.9,5324294.5478,0,4.721
2020-08-25 05:00:00,1598324400000,4.721,4.9,4.677,4.84,1452680.9,1598327999999,6980291.0112,15655,722231.3,3473652.7115,0,4.84
2020-08-25 06:00:00,1598328000000,4.844,4.877,4.751,4.858,1048881.4,1598331599999,5047414.4224,11560,511892.4,2464183.2371,0,4.858
2020-08-25 07:00:00,1598331600000,4.858,5.013,4.851,4.865,2221602.5,1598335199999,10962541.4572,22281,1192124.8,5889294.5115,0,4.865
2020-08-25 08:00:00,1598335200000,4.868,4.885,4.688,4.738,1601322.0,1598338799999,7670120.0437,20642,687903.2,3297978.1495,0,4.738
2020-08-25 09:00:00,1598338800000,4.734,4.85,4.62,4.726,2051151.5,1598342399999,9712605.4893,27325,951436.1,4510363.2490,0,4.726
2020-08-25 10:00:00,1598342400000,4.73,4.76,4.566,4.726,2100228.7,1598345999999,9796050.3133,26104,1041934.3,4868469.3030,0,4.726
2020-08-25 11:00:00,1598346000000,4.726,4.775,4.634,4.704,832157.0,1598349599999,3912711.8091,16531,381065.0,1793886.1978,0,4.704
